comparison,metric,mean_diff,cohens_dz,paired_t_p,wilcoxon_stat,wilcoxon_p
stgat_vs_cnn,fault_type_macro_f1,-0.0019215137044662934,-0.3778680981786517,0.44572158017262165,2.0,0.375
stgat_vs_cnn,line_accuracy,-0.020833333333333325,-0.917662935482246,0.1094468874125004,2.0,0.1875
stgat_vs_cnn,line_top3,0.0,inf,,0.0,1.0
stgat_vs_cnn,position_mae_expected_pct,0.13030776977539063,0.35035581342194283,0.47716901081074176,5.0,0.625
stgat_vs_cnn,security_macro_f1,5.8546193173025785e-05,0.001826378184764449,0.9969370813122224,6.0,0.8125
stgat_vs_cnn,instability_auroc,-0.00135281372070315,-1.0243422391814625,0.08381101151799632,0.0,0.0625
stgat_vs_lstm,fault_type_macro_f1,-0.0029140897991720037,-0.7561645629588666,0.16613009126678718,0.0,0.125
stgat_vs_lstm,line_accuracy,0.010937499999999978,0.7706746355884503,0.15993479883742245,2.0,0.1875
stgat_vs_lstm,line_top3,0.0,inf,,0.0,1.0
stgat_vs_lstm,position_mae_expected_pct,0.3225887298583984,0.708067265350868,0.1885257596997389,3.0,0.3125
stgat_vs_lstm,security_macro_f1,-0.004965586363352492,-0.3888526385609109,0.43363734686009,4.0,0.4375
stgat_vs_lstm,instability_auroc,-0.0007204895019531365,-0.5661804661475639,0.27421886558417946,3.0,0.3125
